address,in_wallet,staked,unstaking,in_terraswap_mars_ust_pair,in_astroport_mars_ust_pair,in_astroport_xmars_mars_pair,in_generator,in_apollo,in_spec,in_auction,in_council,total
terra1959ud9g66pzf9p0tzhvwek0at9mc3x4j0z5urg,194711871613,0,0,0,0,0,0,0,0,0,0,194711871613
terra1mrtvezrjrqhw7vh9m44kh5uecvt92y506m2yw7,2186203,0,0,0,0,0,125014329736,0,0,59037931020,0,184054446958
terra1y090ch0mger9ym63kdhr7e0anavlyuqvnsduxv,72702610,128275903697,0,0,22277143761,0,0,0,0,14797905612,0,165423655680
terra1s8txkd2lrj2wvlwum0epxjejrg4cpqz47mrdq5,21176039319,0,0,0,12346500666,0,0,0,0,122297339542,0,155819879527
terra1m9z8hk9mm06ga02x260r2f5af8yuxwgz34lsj3,0,142586626543,0,0,0,0,0,0,0,11059477898,0,153646104441
terra19n9xgsntfangc49u739g7wz0ls474w75uytc3j,0,0,0,0,0,0,0,0,0,151592708610,0,151592708610
terra1n9qzjpnvwcm2raxwkt3zsdmhy48t73fsjudcx3,0,150121024655,0,0,0,0,0,0,0,0,0,150121024655
terra1ztxgnareurraecf37pl28sauv2d9jshv5pjypw,182431855,149181251549,0,0,0,0,0,0,0,0,0,149363683404
terra1f6rnurhswrppqd0z6sh39chncakgzr36e44nxd,91152,0,0,0,0,0,57389912277,0,0,90582864811,0,147972868241
terra1af7u5mm9dzjjsvrdja22f8z7lsmlnklqy9470z,143185293304,4774209876,0,0,0,0,0,0,0,0,0,147959503180
terra1hyp7wrjs2ewfqzths8msmcxrz5khkwmnxwy0sg,0,0,0,0,16018007638,0,0,0,0,124399699169,0,140417706806
terra1760dqx9kft6ggc4hmejqu0v9fm2quhe3tch9qw,30268660,136362949035,0,0,0,0,0,0,0,2422210768,0,138815428464
terra1jrzwgc7lg9s7r5fwq4rs3yvjjnshj33dkdkyxf,120305760242,0,0,0,0,2027840328,740089245,0,0,15551820295,0,138625510110
terra17s0aa3p6d9sqzek5v3w4yu2p2nktgf79940h40,130790218533,20024329,0,0,0,0,0,0,0,7348747926,0,138158990788
terra17zjyldhmj82079wjhgkwfwsv9mzrzn5vqzwp5u,0,138126404009,0,0,0,0,0,0,0,0,0,138126404009
terra1d3ws3uzjefpctnglrhse3hjl84nfg8u2w2705r,0,29582312710,0,0,0,0,0,0,0,107657274213,0,137239586922
terra1flz89pkz5xsrlnxn3vjayhplvlfygnummdkr3e,53816830918,33357685403,0,0,0,0,0,0,0,47512371085,0,134686887406
terra1645kmkd7v70s3c20x5rquz33tzeu5a9e4mzdve,0,123381436862,0,0,0,0,0,0,0,0,0,123381436862
terra1nqe6uk0lqcrathtav4vhsfl65cqw75qyj89j74,1634573980,0,120526764937,0,0,0,0,0,0,0,0,122161338917
terra1anlwlq2dtjda5t7d2qhkmhr2gk625pks3uxcu8,33476204247,0,0,0,0,0,0,0,0,87336361886,0,120812566133
terra1snrx583sy446705xpy52mlzjpk25adquh9ty39,119754799571,0,0,0,0,0,0,0,0,0,0,119754799571
terra1s6vygkhv8yd6ku7nzm2504auta4sgqwj0uja4c,119073896868,0,0,0,0,0,0,0,0,0,0,119073896868
terra1ujd7lh5ymwp0av4wnu9rmrjmem7vzu9ulaqklt,0,115247073125,0,0,0,0,0,0,0,0,0,115247073125
terra1ac6fctgd4d6d9wkqeyezp9ycdndx7efjcs0hhv,0,94159975048,0,0,0,0,0,0,0,20601051467,0,114761026515
terra15ly4zprkshh73k59g6ssdf3027zl6nd59rljpe,111492847025,0,0,0,0,0,0,0,0,0,0,111492847025
